,act,at,ceq,che,csho,dlc,dltis,dltt,emp,ib,invt,ivao,ivst,lct,lt,pstk,rect,sale,sstk,exchg,prcc-f,ret-t,ret-t1,vwretd,oplease,lease-dum,r-vwretd,r-1-vwretd,WC,NCO,FIN,ATA,rsst-acc,ch-rec,ch-inv,cs,ch-cs,earn-ATA,ch-earn,ch-emp,issue,bm,new-comp,fraud
0,3.139,10.549000000000001,2.12,0.079,0.8759999999999999,4.454,0.05,1.475,0.159,1.734,0.486,0.0,0.0,6.954,8.429,0.0,2.544,20.506999999999998,0.0,19.0,11.49998,0.7689316768364882,1.9892803316315057,0.11529962955421545,0.0,0.0,0.29299562238555626,0.6102502778401843,0.5599999,7.41,-5.928999999999999,97.415,-0.1744187,-0.2097932,-0.2129343,40.944,-0.7536461999999999,0.0178001,0.0683123,0.005851100000000001,1.0,0.2104431,4.0,0.0
1,3.3960000000000004,14.16,2.835,0.251,0.862,4.886,4.825,4.074,0.16399999999999998,1.7080000000000002,0.925,0.0,0.0,7.251,11.325,0.0,2.116,19.266,0.56,19.0,17.49997,1.9659515692198006,-0.13937597861096518,0.22985458699503958,0.0,0.0,0.19680093322237918,-1.1224306062613678,0.7800001999999999,10.764000000000001,-8.96,12.3545,0.04395159999999999,-0.0346432,0.0355336,19.694000000000003,-0.5190015,0.13824920000000002,0.1204491,-0.3108607,1.0,0.18793529999999997,4.0,0.0
2,3.9819999999999998,17.344,2.947,0.002,0.8420000000000001,6.5120000000000005,2.128,4.821000000000001,0.17300000000000001,0.848,1.045,0.0,0.0,9.576,14.397,0.0,2.823,19.55,0.0,19.0,11.99998,-0.20824346210712535,-1.0123653917741933,-0.2890260490536278,0.0,0.0,1.7098821005820406,1.7527387114369242,0.9159999999999999,13.362,-11.333,15.752,0.022917700000000003,0.0448832,0.0076181,18.843,-0.0432112,0.053834400000000004,-0.0844148,-0.1699808,1.0,0.2916672,4.0,0.0
3,6.692,16.217,3.779,0.387,0.8420000000000001,1.3530000000000002,1.212,6.54,0.20199999999999999,1.266,0.831,0.0,0.0,5.898,12.437999999999999,0.0,5.169,28.419,0.0,19.0,13.999979999999999,-1.5905118565576057,-2.264425212438985,0.3115928512413173,0.0,0.0,1.4188727379861683,-0.4194025909106217,1.76,9.525,-7.893,16.7805,0.026638099999999998,0.13980520000000002,-0.0127529,26.073,0.38369699999999995,0.0754447,0.0216103,0.2326094,1.0,0.32058070000000005,4.0,0.0
4,7.555,26.089000000000002,4.935,0.02,2.526,2.418,29.14,14.114,0.284,1.317,1.39,0.0,0.0,7.04,21.154,0.0,5.67,36.385999999999996,0.0,19.0,6.999998,-1.0431724783874814,-0.17696269563915762,0.0494207670940002,0.0,0.0,0.05368927619413279,1.1679096898602446,2.9130000000000003,18.534000000000002,-16.532,21.153000000000002,0.07199939999999999,0.023684599999999997,0.0264265,35.885,0.3763281,0.062260699999999995,-0.013184,-0.2028035,1.0,0.2790975,4.0,0.0
5,10.047,32.335,6.2620000000000005,0.002,2.526,3.283,32.853,17.691,0.311,1.431,2.355,0.0,0.0,8.382,26.073,0.0,6.895,40.522,0.0,19.0,5.999998000000001,-0.29443600703677714,0.8213207282757369,0.09839128565300717,0.0,0.0,-0.2288149548252686,-0.34517741957390746,4.946000000000001,22.288,-20.974,29.212,0.046042599999999996,0.0419348,0.0330344,39.297,0.0950815,0.048986699999999994,-0.013274000000000001,-0.1443408,1.0,0.41316980000000003,4.0,0.0
6,12.911,35.559,6.537999999999999,0.048,2.526,5.0569999999999995,5.773,16.12,0.302,0.857,4.004,0.0,0.0,12.901,29.021,0.0,8.205,36.222,0.0,19.0,9.999998,0.09218753054626774,0.044609845117539015,0.03224385539133255,0.0,0.0,-2.521054510592011,0.7227539804222664,5.019001,22.648000000000003,-21.177,33.946999999999996,0.0067751999999999995,0.038589599999999995,0.04857569999999999,34.912,-0.11158620000000001,0.0252452,-0.0237415,-0.1286451,1.0,0.2588283,4.0,0.0
7,17.011,41.976000000000006,7.535,0.084,2.526,2.6510000000000002,2.55,18.952,0.43799999999999994,2.388,5.314,0.0,0.0,14.671,34.441,0.0,8.943999999999999,51.407,0.0,19.0,14.249989999999999,-1.722864834943274,0.7853268930745052,0.03699448344567628,0.0,0.0,-0.2825015438835966,0.45100858101567853,4.907,24.147,-21.603,38.7675,0.0247888,0.019062400000000004,0.0337912,50.668,0.4513062,0.061598,0.0363527,0.2698704,1.0,0.2093319,4.0,0.0
8,23.057,63.997,10.402000000000001,0.513,5.052,4.953,59.05,32.882,0.564,3.362,3.989,0.0,0.0,18.331,53.595,0.0,12.982999999999999,72.36,0.0,19.0,12.75,-0.44191581307118366,-0.34824574176464396,-0.006864397367347189,0.0,0.0,-0.7030486994263491,0.967231156424923,9.166,38.558,-37.835,52.9865,0.046011699999999996,0.07622689999999999,-0.0250064,68.321,0.3484053,0.0634501,0.0018521000000000002,-0.236938,1.0,0.1614891,4.0,1.0
9,33.796,93.811,14.315,0.159,5.052,6.767,84.295,52.263000000000005,0.705,4.523,7.1739999999999995,0.0,0.0,25.594,79.49600000000001,0.0,18.102999999999998,92.12200000000001,0.0,19.0,13.75,0.08354210000000001,-0.8113808939364091,-0.007573300000000001,0.0,0.0,0.0911154,-0.636034470880608,14.81,58.37599,-59.03,78.904,0.0540783,0.064889,0.0403655,87.00200000000001,0.2734298,0.05732280000000001,-0.0061273000000000005,-0.2158656,1.0,0.206075,4.0,1.0
10,7.313,9.152000000000001,6.1739999999999995,0.024,3.8360000000000003,1.052,0.145,0.425,0.252,0.316,5.3,0.008,0.0,2.305,2.978,0.0,1.963,10.940999999999999,0.0,12.0,1.5,-1.6034408491700787,-0.4011638931070355,0.072122413100423,0.0,0.0,0.306506061697385,-1.8905922464348293,6.0360000000000005,1.5830000000000002,-1.469,227.356,-0.5354334,-0.6979406,-0.735692,169.622,-0.8143486999999999,0.0013899000000000001,-0.0249534,0.1474596,1.0,1.072993,10.0,0.0
11,6.504,8.5,6.189,0.028999999999999998,3.8360000000000003,0.69,0.293,0.452,0.21100000000000002,0.015,5.041,0.002,0.0,1.669,2.311,0.0,1.3969999999999998,10.1,0.0,12.0,1.625,-0.927504245393578,2.642866417657105,0.03453095772467672,0.0,0.0,-0.4432763306233453,-0.41164953123360715,5.496,1.804,-1.14,8.826,0.0011330000000000001,-0.0641287,-0.0293452,10.665999999999999,-0.937119,0.0016995,0.0003096,-0.0914571,1.0,0.9928611999999999,10.0,0.0
12,7.037999999999999,8.934,6.295,0.033,3.8360000000000003,0.867,0.131,0.317,0.213,0.107,5.294,0.002,0.0,2.108,2.639,0.0,1.685,9.193,0.0,12.0,1.6869990000000001,0.38240583416484214,-0.819541087565369,0.1447679458680283,0.0,0.0,-0.2524484649440887,-0.004076672294698713,5.763999999999999,1.68,-1.182,8.717,0.0117013,0.0330389,0.0290238,8.905,-0.1651041,0.0122749,0.0105753,-0.0415801,1.0,0.9727522,10.0,0.0
13,6.936,10.65,6.461,0.091,3.8360000000000003,0.716,1.9,1.94,0.21,0.166,5.151,0.0,0.0,1.999,4.189,0.0,1.66,11.110999999999999,0.0,12.0,1.311999,1.4011748598715328,-1.75292346273727,0.35205890243676785,0.0,0.0,-0.8295997937630959,1.0545327842083208,5.562,3.464,-2.656,9.792,0.0110294,-0.0025531,-0.014603799999999998,11.136,0.25053339999999996,0.016952599999999998,0.0046777,-0.20615970000000003,1.0,1.283771,10.0,0.0
14,6.7410000000000005,11.138,6.577999999999999,0.076,3.8360000000000003,1.082,0.0,1.87,0.185,0.11599999999999999,5.297999999999999,0.0,0.0,2.456,4.56,0.0,1.347,9.809,0.0,12.0,1.5,0.4739713311331107,0.9904680979839577,0.10722095054253084,0.0,0.0,-0.1924181260242081,1.4515417264505563,5.291,4.163,-2.952,10.894,0.012116799999999999,-0.0287314,0.0134937,10.122,-0.091056,0.0106481,-0.0063046000000000005,-0.1648692,0.0,1.143205,10.0,0.0
15,7.2620000000000005,11.953,6.653,0.053,3.8360000000000003,1.112,0.935,2.475,0.21,0.075,5.074,0.0,0.0,2.524,5.3,0.0,1.5030000000000001,11.159,0.0,12.0,1.25,-0.5923188098511807,-0.995073445910801,0.2266607700128686,0.0,0.0,-0.22602118350191547,0.5016010590350086,5.797000000000001,4.3899989999999995,-3.5869999999999997,11.5455,0.008488200000000001,0.0135118,-0.0194015,11.003,0.0870382,0.006495999999999999,-0.004152,0.0619621,1.0,1.3874870000000001,10.0,0.0
16,8.342,12.854000000000001,7.087999999999999,0.055999999999999994,3.8360000000000003,1.189,0.0,2.16,0.32,0.435,5.52,0.0,0.0,3.2889999999999997,5.766,0.0,2.6639999999999997,14.069,0.0,12.0,1.311999,1.4874191234392706,1.4525205789485292,0.18635382806183343,0.0,0.0,0.36683966441207655,-0.7714747944753805,6.186,4.195001,-3.3489999999999998,12.4035,0.034829,0.09360260000000001,0.0359576,12.908,0.1731346,0.035070699999999996,0.0285747,0.448431,0.0,1.408353,10.0,0.0
17,10.13,16.243,8.504,0.086,3.7289999999999996,1.117,1.8,2.985,0.305,1.564,6.077000000000001,0.0,0.0,4.349,7.739,0.0,3.736,29.529,0.0,12.0,2.280999,-0.5814606928161001,-1.358654756437763,0.15419510767716055,0.0,0.0,-0.24729670019722388,-0.07348027809721977,6.812,5.707999999999999,-4.102,14.5485,0.09526760000000001,0.0736846,0.0382857,28.456999999999997,1.204602,0.10750250000000001,0.0724317,-0.3105283,1.0,0.9997828999999999,10.0,0.0
18,12.145999999999999,18.686,10.54,1.301,3.84,1.016,2.0,3.969,0.41100000000000003,1.679,6.581,0.0,0.0,3.7060000000000004,8.146,0.0,3.983,25.899,0.0,12.0,3.0,0.05651841528370838,-0.7761770889323483,-0.0440806014294923,0.628,1.0,-0.46464178204272066,0.3872302185454561,8.155,6.069001,-4.985,17.4645,0.047009699999999995,0.014143000000000001,0.0288585,25.651999999999997,-0.0985697,0.09613789999999998,-0.0113646,0.19713770000000003,1.0,0.9149306,10.0,0.0
19,12.605,18.293,11.288,1.1909999999999998,3.801,0.762,0.223,2.88,0.33299999999999996,0.8690000000000001,7.706,0.12,0.0,3.66,7.005,0.0,3.3310000000000004,24.006,0.0,12.0,2.936999,-0.024017994461210362,-0.16596946554581637,0.03383530432299052,0.14300000000000002,1.0,2.3516227735065076,-0.07949241766527573,8.516,5.103,-3.522,18.4895,0.0464046,-0.035263300000000004,0.0608453,24.658,-0.0387494,0.046999599999999996,-0.04913819999999999,-0.16874920000000002,1.0,1.011149,10.0,0.0
20,10.81,17.965,11.058,0.573,3.7910000000000004,0.8170000000000001,1.1,3.114,0.28,-0.21100000000000002,6.026,0.095,0.0,3.3280000000000003,6.907,0.0,3.6839999999999997,24.394000000000002,0.0,12.0,2.186999,-0.21052729999999997,-0.342857,-0.007573300000000001,0.0,0.0,-0.202954,-0.3352837,7.726,6.595,-3.8360000000000003,18.129,0.021402200000000003,0.0194716,-0.09266920000000001,24.041,-0.0250224,-0.0116388,-0.058638499999999996,-0.1412289,1.0,1.333749,10.0,0.0
21,11.164000000000001,17.851,9.189,0.01,3.799,1.0070000000000001,0.45,2.8139999999999996,0.281,-1.886,6.312,0.06,0.0,5.357,8.662,0.0,3.806,18.965999999999998,0.0,12.0,1.436999,-0.3000006,-0.21052729999999997,0.3567165,0.0,0.0,-0.6567170999999999,-0.5672438,6.803999,6.136,-3.761,17.908,-0.0729283,0.0068126,0.015970500000000002,18.844,-0.21617229999999998,-0.10531610000000001,-0.09367719999999999,0.0099171,1.0,1.6832259999999999,10.0,0.0
22,12.550999999999998,17.215,10.127,1.25,3.8080000000000003,1.805,3.7739999999999996,2.444,0.27399999999999997,1.123,7.343999999999999,0.0,0.0,4.062,7.087999999999999,0.0,3.5469999999999997,20.232,0.0,12.0,3.5,2.238092,-0.3000006,0.2116129,0.0,0.0,2.026479,-0.5116135,9.044,4.082001,-4.249,17.533,-0.0172246,-0.0147721,0.05886040000000001,20.491,0.08740189999999999,0.0640506,0.1693667,0.010717200000000001,1.0,0.7598289,10.0,0.0
23,13.878,18.315,11.777999999999999,2.075,3.91,0.196,1.432,3.6010000000000004,0.253,1.2009999999999998,8.105,0.0,0.0,2.722,6.537000000000001,0.0,3.3480000000000003,19.326,0.182,12.0,14.875,2.500002,2.238092,0.3033297,0.0,0.0,2.196673,1.9347619999999999,9.277000000000001,4.223,-3.7969999999999997,17.765,0.0464959,-0.011201799999999998,0.042837,19.525,-0.047142699999999996,0.0676048,0.0035542,-0.1405401,1.0,0.202506,10.0,0.0
